pmcid,pmid,doi,year,journal,title,is_rct,pub_types,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC8248609,34197486,10.1371/journal.pone.0251652,2021,PloS one,Home-based exercise for people living with frailty and chronic kidney disease: A mixed-methods pilot randomised controlled trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,10.5061/dryad.3ffbg79hp,False,The anonymised data set files are available from Dryad (DOI: 10.5061/dryad.3ffbg79hp ). The anonymised data set files are available from Dryad (DOI: 10.5061/dryad.3ffbg79hp ).
PMC8318294,34319971,10.1371/journal.pmed.1003711,2021,PLoS medicine,"Impact of assessment and intervention by a health and social care professional team in the emergency department on the quality, safety, and clinical effectiveness of care for older adults: A randomise",True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/5wpjm,False,Data Availability Statement The data used in this study are available on the Open Science Framework at the public link https://osf.io/5wpjm/ . The data used in this study are available on the Open Science Framework at the public link https://osf.io/5wpjm/ . The data used in this study are available on the Open Science Framework at the public link https://osf.io/5wpjm/ .
PMC8057582,33878107,10.1371/journal.pone.0248110,2021,PloS one,The SIMAC study: A randomized controlled trial to compare the effects of resistance training and aerobic training on the fitness and body composition of Colombian adolescents,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,10.5061/dryad.bk3j9kd9q,False,The data underlying this study are publicly available at the Dryad repository: https://doi.org/10.5061/dryad.bk3j9kd9q The data underlying this study are publicly available at the Dryad repository: https://doi.org/10.5061/dryad.bk3j9kd9q
PMC8022322,33824131,10.1136/bmj.n740,2021,BMJ (Clinical research ed.),E-health StandingTall balance exercise for fall prevention in older people: results of a two year randomised controlled trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/42gje,False,Data Availability Statement Deidentified participant data may be accessed by researchers who provide a methodologically sound proposal. Proposals should be directed to KD (k.delbaere@neura.edu.au) and data are available from the date of publication of this article. The study protocol is available as a free access publication 8 and the statistical analysis plan is available on OpenScience framework ( https://osf.io/42gje/ ). Deidentified participant data may be accessed by researchers who provide a methodologically sound proposal. Proposals should be directed to KD (k.delbaere@neura.edu.au) and data are available from the date of publication of this article. The study protocol is available as a free access publication 8 and the statistical analysis plan is available on OpenScience framework ( https://osf.io/42gje/ ). Deidentified participant data may be accessed by researchers who provide a methodologically sound proposal. Proposals should be directed to KD (k.delbaere@neura.edu.au) and
PMC8488696,34544853,10.1073/pnas.2026676118,2021,Proceedings of the National Academy of Sciences of the ,Critical Period After Stroke Study (CPASS): A phase II clinical trial testing an optimal time for motor recovery after stroke in humans,True,"Clinical Trial, Phase II Research Support, Non-U.S. Gov't research-art",0,1,,osf.io/wrk3x,False,"Data Availability Anonymized data have been deposited in Open Science Framework ( https://osf.io/wrk3x/ ). To observe HIPAA protections for human subject information, click to request access to the dataset. Access will be granted by the corresponding author. Anonymized data have been deposited in Open Science Framework ( https://osf.io/wrk3x/ ). To observe HIPAA protections for human subject information, click to request access to the dataset. Access will be granted by the corresponding author."
PMC8071399,33921105,10.3390/ijerph18084207,2021,International journal of environmental research and pub,Effects of a Rehabilitation Programme Using a Nasal Inspiratory Restriction Device in COPD,True,research-article Randomized Controlled Trial Journal Article,1,0,github.com/jorgedelro/copd,,False,Data Availability Statement The dataset analyzed in this study can be found in https://github.com/JorgeDelro/COPD (accessed on 7 January 2021).
PMC8198819,34070842,10.3390/jcm10112432,2021,Journal of clinical medicine,"Effectiveness of Moderate-Intensity Aerobic Water Exercise during Pregnancy on Quality of Life and Postpartum Depression: A Multi-Center, Randomized Controlled Trial",True,research-article Journal Article,0,1,,10.5281/zenodo.3580637,False,Data Availability Statement Data presented in this study are available on request from the corresponding author. An anonymized minimal dataset is available ( https://doi.org/10.5281/zenodo.3580637 ).
PMC8133415,34010275,10.1371/journal.pone.0245311,2021,PloS one,Effect of an inverted seated position with upper arm blood flow restriction on measures of elbow flexors neuromuscular performance,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/tzm4b,False,Data Availability Statement All data is available from the Open Science Framework (DOI: 10.17605/OSF.IO/TZM4B ). All data is available from the Open Science Framework (DOI: 10.17605/OSF.IO/TZM4B ). All data is available from the Open Science Framework (DOI: 10.17605/OSF.IO/TZM4B ).
PMC8077152,33274816,10.1111/hex.13161,2021,Health expectations : an international journal of publi,The impact of a physician's recommendation and gender on informed decision making: A randomized controlled study in a simulated decision situation,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/y467e,False,Data Availability Statement The data that support the findings of this study are available from osf.io/y467e. 55 The data that support the findings of this study are available from osf.io/y467e. 55 The data that support the findings of this study are available from osf.io/y467e. 55
PMC7187154,31778291,10.1002/pri.1819,2020,Physiotherapy research international : the journal for ,Stratified exercise therapy compared with usual care by physical therapists in patients with knee osteoarthritis: A randomized controlled trial protocol (OCTOPuS study),True,Clinical Trial Protocol research-article Journal Article,0,2,,dataverse.nl/dataverse/beta | osf.io/x3p94,False,Data Availability Statement The datasets generated and/or analysed during the current study will be available in the Dataverse repository ( https://dataverse.nl/dataverse/BETA ). The research protocol is accessible at the Netherlands National Trial Register ( https://www.trialregister.nl/trial/7463 ) and Open Science Framework ( https://osf.io/x3p94/ ). The datasets generated and/or analysed during the current study will be available in the Dataverse repository ( https://dataverse.nl/dataverse/BETA ). The research protocol is accessible at the Netherlands National Trial Register ( https://www.trialregister.nl/trial/7463 ) and Open Science Framework ( https://osf.io/x3p94/ ). The datasets generated and/or analysed during the current study will be available in the Dataverse repository ( https://dataverse.nl/dataverse/BETA ). The research protocol is accessible at the Netherlands National Trial Register ( https://www.trialregister.nl/trial/7463 ) and Open Science Framework ( https://osf.i
PMC7757494,33371023,10.1136/bmjopen-2020-040108,2020,BMJ open,Can an online exercise prescription tool improve adherence to home exercise programmes in children with cerebral palsy and other neurodevelopmental disabilities? A randomised controlled trial,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/7m3ta,False,"De-identified data are available upon request from the corresponding author ( rowan.johnson@postgrad.curtin.edu.au ), noting that requestors will need to sign a data access agreement. The study protocol is available online (see https://osf.io/7m3ta/ )."
PMC7447006,32841300,10.1371/journal.pone.0237921,2020,PloS one,"An age-adapted plyometric exercise program improves dynamic strength, jump performance and functional capacity in older men either similarly or more than traditional resistance training",True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,osf.io/fqph4,False,All data files are available at https://osf.io/fqph4/ . All data files are available at https://osf.io/fqph4/ .
PMC6668791,31365565,10.1371/journal.pone.0220110,2019,PloS one,Evaluation of the clinical effectiveness of a work-based mentoring programme to develop clinical reasoning on patient outcome: A stepped wedge cluster randomised controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,figshare.com/s/cbd137213b638b69a2d0,False,Data Availability Statement All data files are available from the figshare database ( https://figshare.com/s/cbd137213b638b69a2d0 ). All data files are available from the figshare database ( https://figshare.com/s/cbd137213b638b69a2d0 ). All data files are available from the figshare database ( https://figshare.com/s/cbd137213b638b69a2d0 ).
PMC6733445,31498799,10.1371/journal.pmed.1002897,2019,PLoS medicine,The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: A pragmatic cluster-randomised controlled trial,True,"Research Support, Non-U.S. Gov't research-article Multicenter Study Pr",0,2,,10.5061/dryad.4t375b2 | datadryad.org/review,False,Data Availability Statement Data are deposited in the Dryad repository: https://datadryad.org/review?doi=doi:10.5061/dryad.4t375b2 Data are deposited in the Dryad repository: https://datadryad.org/review?doi=doi:10.5061/dryad.4t375b2 Data are deposited in the Dryad repository: https://datadryad.org/review?doi=doi:10.5061/dryad.4t375b2
PMC6886967,31753866,10.1136/bmjopen-2018-028252,2019,BMJ open,"Effects of supervised exercise training during pregnancy on psychological well-being among overweight and obese women: secondary analyses of the ETIP-trial, a randomised controlled trial",True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,10.5061/dryad.pvmcvdng6,False,"Data file are being available in Dryad, doi:10.5061/dryad.pvmcvdng6."
PMC5571970,28841667,10.1371/journal.pone.0182630,2017,PloS one,The effects of d-aspartic acid supplementation in resistance-trained men over a three month training period: A randomised controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,figshare.com/articles/the_effects_of_d-aspartic_acid_supplementation_in_resistance-trained_men_over_a_three_month_training_period/5280592,False,Data Availability Statement The study was approved by the Western Sydney University Human Research Ethics Committee and data are ethically restricted to statistical reporting for reasons relating to patient privacy. Relevant data can be found in the Figshare Repository at the following URL: https://figshare.com/articles/The_effects_of_d-aspartic_acid_supplementation_in_resistance-trained_men_over_a_three_month_training_period/5280592 . The DOI is 10.6084/m9.figshare.5280592 . The study was approved by the Western Sydney University Human Research Ethics Committee and data are ethically restricted to statistical reporting for reasons relating to patient privacy. Relevant data can be found in the Figshare Repository at the following URL: https://figshare.com/articles/The_effects_of_d-aspartic_acid_supplementation_in_resistance-trained_men_over_a_three_month_training_period/5280592 . The DOI is 10.6084/m9.figshare.5280592 . The study was approved by the Western Sydney University Human Rese
PMC5367686,28346472,10.1371/journal.pone.0172003,2017,PloS one,Can group-based reassuring information alter low back pain behavior? A cluster-randomized controlled trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,figshare.com/articles/data_rct_pf_xlsx/4506164,False,"I have now signed in at Figshare and published a data file with the data used to produce our results available to all. By following this URL, you will find the data set: https://figshare.com/articles/Data_RCT_PF_xlsx/4506164 . I have now signed in at Figshare and published a data file with the data used to produce our results available to all. By following this URL, you will find the data set: https://figshare.com/articles/Data_RCT_PF_xlsx/4506164 ."
PMC5581414,28865441,10.1186/s12891-017-1740-9,2017,BMC musculoskeletal disorders,Predicting outcome in frozen shoulder (shoulder capsulitis) in presence of comorbidity as measured with subjective health complaints and neuroticism,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/a4ba9,False,Link for anonymized data https://osf.io/a4ba9/files/.
PMC4811411,27023901,10.1371/journal.pone.0149466,2016,PloS one,Early Sitting in Ischemic Stroke Patients (SEVEL): A Randomized Controlled Trial,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5061/dryad.jh15q,False,Data Availability Statement All relevant data are available from Dryad with the following DOI: doi: 10.5061/dryad.jh15q . All relevant data are available from Dryad with the following DOI: doi: 10.5061/dryad.jh15q . All relevant data are available from Dryad with the following DOI: doi: 10.5061/dryad.jh15q .
PMC4880881,27229470,10.1186/s12891-016-1081-0,2016,BMC musculoskeletal disorders,"Adhesive capsulitis of the shoulder, treatment with corticosteroid, corticosteroid with distension or treatment-as-usual; a randomised controlled trial in primary care",True,"Comparative Study Research Support, Non-U.S. Gov't research-article Ra",0,1,,osf.io/4xvru,False,The clinical raw data file is available at: https://osf.io/4xvru/ .
PMC5015224,27604193,10.1186/s12917-016-0826-1,2016,BMC veterinary research,Effect of intralesional platelet-rich plasma (PRP) treatment on clinical and ultrasonographic parameters in equine naturally occurring superficial digital flexor tendinopathies - a randomized prospect,True,research-article Randomized Controlled Trial Journal Article,0,1,,figshare.com/s/908fa4cad9e0ee828371,False,"The datasets supporting the conclusions of this article are available in the figshare repository, https://figshare.com/s/908fa4cad9e0ee828371 ."
PMC4891923,27274715,10.1186/s12970-016-0135-x,2016,Journal of the International Society of Sports Nutritio,"The effects of phosphatidic acid supplementation on strength, body composition, muscular endurance, power, agility, and vertical jump in resistance trained men",True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/6zecp,False,Raw data can for this manuscript can be found at https://osf.io/6zecp/ .
PMC4573757,26375471,10.1371/journal.pone.0137742,2015,PloS one,A 12-Week Exercise Program for Pregnant Women with Obesity to Improve Physical Activity Levels: An Open Randomised Preliminary Study,True,"Comparative Study Research Support, Non-U.S. Gov't research-article Ra",0,1,,10.5061/dryad.87f03,False,"Data Availability Statement Data from the ""Inter GO FIT"" study are available from the Dryad Digital Repository (URL http://dx.doi.org/10.5061/dryad.87f03 ). Data from the ""Inter GO FIT"" study are available from the Dryad Digital Repository (URL http://dx.doi.org/10.5061/dryad.87f03 ). Data from the ""Inter GO FIT"" study are available from the Dryad Digital Repository (URL http://dx.doi.org/10.5061/dryad.87f03 )."
PMC4657923,26600201,10.1371/journal.pone.0142726,2015,PloS one,Musculoskeletal Pain as a Marker of Health Quality. Findings from the Epidemiological Sleep Study among the Adult Population of São Paulo City,True,"Research Support, Non-U.S. Gov't research-article Randomized Controlle",0,1,,10.5061/dryad.2gd62,False,"Data are from the epidemiological cohort entitled “Epidemiology of Sleep Disturbances Among the Adult Population of the Sao Paulo City”, which is registered at ClinicalTrials.gov as NCT00596713 . Repository information for data at doi: 10.5061/dryad.2gd62 . Data are from the epidemiological cohort entitled “Epidemiology of Sleep Disturbances Among the Adult Population of the Sao Paulo City”, which is registered at ClinicalTrials.gov as NCT00596713 . Repository information for data at doi: 10.5061/dryad.2gd62 ."
PMC13149676,42110841,10.4102/sajp.v82i2.2304,2026,The South African journal of physiotherapy,Shoulder pain in amateur fast bowlers: A case example illustrating opportunities to embed prevention in undergraduate physiotherapy education,False,research-article Journal Article,0,1,,figshare.com/s/e064dd01738496711647,False,"Data Availability Statement The data that support the findings of this study are openly available in the FigShare repository of the University of Pretoria at https://figshare.com/s/e064dd01738496711647 , reference number: https://doi.org/10.25403/UPresearchdata.30145819 . The data that support the findings of this study are openly available in the FigShare repository of the University of Pretoria at https://figshare.com/s/e064dd01738496711647 , reference number: https://doi.org/10.25403/UPresearchdata.30145819 . The data that support the findings of this study are openly available in the FigShare repository of the University of Pretoria at https://figshare.com/s/e064dd01738496711647 , reference number: https://doi.org/10.25403/UPresearchdata.30145819 ."
PMC13076858,41775918,10.1038/s43856-026-01486-w,2026,Communications medicine,Increased physical performance after personalised physiotherapy and nutritional counselling in adults with post-COVID-19 condition: a feasibility randomised trial,False,research-article Journal Article,0,1,,osf.io/86jvu,False,"Data availability The minimal, de-identified individual participant data sufficient to support the findings of this article is available for non-commercial research purposes upon reasonable request to the corresponding author (E.D.W.), after approval by the Belgian Health Care Knowledge Centre and in compliance with applicable data protection regulations. The numerical results underlying the Figs. 2 – 5 and Supplementary Figs. 1 – 4 are available through Open Science Framework (OSF) at 10.17605/OSF.IO/86JVU 130 under a Creative Commons Attribution–Non-commercial 4.0 International License (CC BY-NC 4.0). Code availability The code for Figs. 2 – 5 and Supplementary Figs. 1 – 4 , are available through OSF at 10.17605/OSF.IO/86JVU 130 under a Creative Commons Attribution–Non-commercial 4.0 International License (CC BY-NC 4.0)."
PMC12987460,41824404,10.1371/journal.pone.0343934,2026,PloS one,Non-immersive virtual reality telerehabilitation for motor accuracy and precision in individuals with Cerebral Palsy: A non-randomized clinical trial,False,Clinical Trial research-article Journal Article,0,1,,10.5281/zenodo.17468973,False,"Data Availability Statement All data from this research are publicly available. Silva PL, Valenzuela EJ, Martinez JP, Silva-Magalhães TD, Moraes IAP, Dawes H, Dias ED, Monteiro CBM. Dataset for Non-immersive virtual reality as a telerehabilitation protocol on precision and accuracy performance in individuals with cerebral palsy: a non-randomized controlled clinical trial, Zenodo.2025; V1. https://doi.org/10.5281/zenodo.17468973 . All data from this research are publicly available. Silva PL, Valenzuela EJ, Martinez JP, Silva-Magalhães TD, Moraes IAP, Dawes H, Dias ED, Monteiro CBM. Dataset for Non-immersive virtual reality as a telerehabilitation protocol on precision and accuracy performance in individuals with cerebral palsy: a non-randomized controlled clinical trial, Zenodo.2025; V1. https://doi.org/10.5281/zenodo.17468973 . All data from this research are publicly available. Silva PL, Valenzuela EJ, Martinez JP, Silva-Magalhães TD, Moraes IAP, Dawes H, Dias ED, Monteiro CBM. Datase"
PMC12987000,41829400,10.3390/s26051438,2026,"Sensors (Basel, Switzerland)",Robot-Assisted Gait Training Combined with Conventional Physiotherapy in Postoperative Patients with Diplegic Cerebral Palsy: A Pilot Single Cohort Observational Study,False,research-article Journal Article Observational Study,0,1,,10.5281/zenodo.15083648,False,Data Availability Statement The data that support the findings of this study are openly available as of the date of publication on Zenodo at https://doi.org/10.5281/zenodo.15083648 (accessed on 25 March 2025). The data that support the findings of this study are openly available as of the date of publication on Zenodo at https://doi.org/10.5281/zenodo.15083648 (accessed on 25 March 2025). The data that support the findings of this study are openly available as of the date of publication on Zenodo at https://doi.org/10.5281/zenodo.15083648 (accessed on 25 March 2025).
PMC12966549,41787943,10.1177/14799731261431253,2026,Chronic respiratory disease,The characteristics of people with COPD who enrol in home-based pulmonary rehabilitation versus centre-based pulmonary rehabilitation: A nationwide cross-sectional study,False,Comparative Study research-article Journal Article,1,0,github.com/nhli-respiratory-epi/home_based_centre_based_pr,,False,Data Availability Statement Data may be obtained from a third party and are not publicly available. Data collected on behalf of Healthcare Quality Improvement Partnership (HQIP) by all National Clinical Audit and Patient Outcomes Programme (NCAPOP) projects are routinely reported at an aggregate level and these reports are available in the resources section of the HQIP website ( https://www.hqip.org.uk/resources/ ). The reported data are also placed on the data.gov.uk website. The R scripts used to perform the analysis can be found at https://github.com/NHLI-Respiratory-Epi/home_based_centre_based_PR . Data may be obtained from a third party and are not publicly available. Data collected on behalf of Healthcare Quality Improvement Partnership (HQIP) by all National Clinical Audit and Patient Outcomes Programme (NCAPOP) projects are routinely reported at an aggregate level and these reports are available in the resources section of the HQIP website ( https://www.hqip.org.uk/resources/ )
PMC13177883,42062688,10.1186/s13561-026-00768-2,2026,Health economics review,Cost-effectiveness analysis of intensive and emerging rehabilitation therapies in children with cerebral palsy: an observational cohort study using real-world evidence and microsimulation modelling,False,research-article Journal Article,1,0,github.com/diana-mnd1996/microsimulation-cerebralpalsy,,False,"Data Availability Statement Data from this study are available upon special and justified request through the lead author to the institution holding the data (Hospital Universitario de Navarra). This process is need because anonymized records for individual patients across more than one data source external to EPCINA cannot, and should not, be linked owing to a potential increase in risk of patient re-identification. A full version of the R codes used for each microsimulation decision model can be found in Supplementary material appendices and on GitHub. All the code together can be found in this README file: https://github.com/Diana-MND1996/microsimulation-cerebralpalsy/blob/f9d1942caa610a9020bbb943b79ea243c00e7c56/README.md . Data from this study are available upon special and justified request through the lead author to the institution holding the data (Hospital Universitario de Navarra). This process is need because anonymized records for individual patients across more than one da"
PMC13082714,41984927,10.1371/journal.pone.0347056,2026,PloS one,Validating the 2-minute walk test MCID for subacute stroke patients: A Pakistani multicenter cohort analysis,False,research-article Validation Study Multicenter Study Journal Article,0,1,,figshare.com/articles/figure/_b_determining_the_minimally_clinically_important_difference_of_the_2-minute_walk_test_in_individuals_with_subacute_stroke_a_multicenter_cohort_study_b_/29484728,False,Data Availability Statement The data underlying the results presented in the study are available from Figshare: https://figshare.com/articles/figure/_b_Determining_the_Minimally_Clinically_Important_Difference_of_the_2-Minute_Walk_Test_in_Individuals_with_Subacute_Stroke_A_Multicenter_Cohort_Study_b_/29484728 . The data underlying the results presented in the study are available from Figshare: https://figshare.com/articles/figure/_b_Determining_the_Minimally_Clinically_Important_Difference_of_the_2-Minute_Walk_Test_in_Individuals_with_Subacute_Stroke_A_Multicenter_Cohort_Study_b_/29484728 . The data underlying the results presented in the study are available from Figshare: https://figshare.com/articles/figure/_b_Determining_the_Minimally_Clinically_Important_Difference_of_the_2-Minute_Walk_Test_in_Individuals_with_Subacute_Stroke_A_Multicenter_Cohort_Study_b_/29484728 .
PMC12218422,40495635,10.1080/17581869.2025.2515010,2025,Pain management,"A multimodal intervention of manual therapy, exercise, and psychological management for painful diabetic neuropathy: intervention development and feasibility trial protocol",False,Clinical Trial Protocol research-article Journal Article,0,1,,osf.io/jyftb,False,"Data Availability Statement A full protocol and SAP were registered on the Open Science Framework ( https://osf.io/jyftb ). The final, anonymized dataset of the feasibility RCT will also be shared on OSF.io. A full protocol and SAP were registered on the Open Science Framework ( https://osf.io/jyftb ). The final, anonymized dataset of the feasibility RCT will also be shared on OSF.io. A full protocol and SAP were registered on the Open Science Framework ( https://osf.io/jyftb ). The final, anonymized dataset of the feasibility RCT will also be shared on OSF.io."
PMC12533888,41105645,10.1371/journal.pone.0334713,2025,PloS one,Effects of different physical therapy training protocols on patients with idiopathic scoliosis: Short-term results,False,research-article Journal Article Observational Study,0,1,,figshare.com/articles/dataset/scolio_data_xlsx/28424249,False,Data Availability Statement All relevant data are within the manuscript and its Supporting information files. All scolio data files are available from the figshare database (DOI:10.6084/m9.figshare.28424249). https://figshare.com/articles/dataset/scolio_data_xlsx/28424249?file=52381676 . All relevant data are within the manuscript and its Supporting information files. All scolio data files are available from the figshare database (DOI:10.6084/m9.figshare.28424249). https://figshare.com/articles/dataset/scolio_data_xlsx/28424249?file=52381676 . All relevant data are within the manuscript and its Supporting information files. All scolio data files are available from the figshare database (DOI:10.6084/m9.figshare.28424249). https://figshare.com/articles/dataset/scolio_data_xlsx/28424249?file=52381676 .
PMC12306270,40734757,10.1136/bmjsem-2025-002717,2025,BMJ open sport & exercise medicine,Effects of resistance training intensity on the cardiovascular health of postmenopausal women with hypertension: a study protocol for the LOAD trial,False,research-article Journal Article,0,1,,osf.io/nbjcq,False,"Data availability statement No data are available. No data are available. There are no data available yet, as this article is a study protocol. However, a page has already been created where the data will be deposited for third-party access: https://osf.io/nbjcq/ ."
PMC12757406,41487518,10.3389/fphar.2025.1657065,2025,Frontiers in pharmacology,"Effects and safety of a CBD-rich &lt;i&gt;Cannabis sativa&lt;/i&gt; oil in knee osteoarthritis: a double-blind, randomized, placebo-controlled trial - CANOA - cannabis for osteoarthritis",False,Clinical Trial research-article Journal Article,0,1,,data.mendeley.com/datasets/fw6bftyrf2/2,False,"Data availability statement All data from this trial are publicly available in the Mendeley Repository, doi: 10.17632/fw6bftyrf2.2 . Available at: https://data.mendeley.com/datasets/fw6bftyrf2/2 . All data from this trial are publicly available in the Mendeley Repository, doi: 10.17632/fw6bftyrf2.2 . Available at: https://data.mendeley.com/datasets/fw6bftyrf2/2 ."
PMC12525571,41097211,10.3390/nu17193134,2025,Nutrients,Impact of Nutritional Status on Clinical Outcomes of Patients Undergoing PRGF Treatment for Knee Osteoarthritis-A Prospective Observational Study,False,research-article Journal Article Observational Study,0,1,,osf.io/hrcym,False,Data Availability Statement The protocol was prospectively registered with Clinicaltrials.gov (Identifier number NCT05546541 ). The datasets presented in this study can be found in online repositories with link: https://osf.io/hrcym/?view_only=9ba99de8cad14d8ca72d5f11c455a6b2 (accessed on 28 September 2025). The protocol was prospectively registered with Clinicaltrials.gov (Identifier number NCT05546541 ). The datasets presented in this study can be found in online repositories with link: https://osf.io/hrcym/?view_only=9ba99de8cad14d8ca72d5f11c455a6b2 (accessed on 28 September 2025). The protocol was prospectively registered with Clinicaltrials.gov (Identifier number NCT05546541 ). The datasets presented in this study can be found in online repositories with link: https://osf.io/hrcym/?view_only=9ba99de8cad14d8ca72d5f11c455a6b2 (accessed on 28 September 2025).
PMC12708264,41416079,10.3389/fmed.2025.1735444,2025,Frontiers in medicine,Exercise-responsive circTSN as a potential systemic biomarker during COPD rehabilitation,False,brief-report Journal Article,0,1,,zenodo.org/records/17427212,False,Data availability statement Raw and processed RNA sequencing data generated in this study have been deposited in the NCBI Gene Expression Omnibus GSE235174 . De-identified CT and ultrasound imaging data supporting this work have been deposited in Zenodo ( https://zenodo.org/records/17427212 ). Raw and processed RNA sequencing data generated in this study have been deposited in the NCBI Gene Expression Omnibus GSE235174 . De-identified CT and ultrasound imaging data supporting this work have been deposited in Zenodo ( https://zenodo.org/records/17427212 ).
PMC11849177,39994637,10.1186/s12984-025-01573-4,2025,Journal of neuroengineering and rehabilitation,Telerehabilitation for visual field defects with a multisensory training: a feasibility study,False,Clinical Trial research-article Journal Article,0,1,,10.5281/zenodo.13335206,False,Data Availability Statement The datasets generated and analyzed during the current study are available on Zenodo: https://doi.org/ 10.5281/zenodo.13335206. Datasets are accessible under request because they include sensitive information. Please write your request to the corresponding author. The datasets generated and analyzed during the current study are available on Zenodo: https://doi.org/ 10.5281/zenodo.13335206. Datasets are accessible under request because they include sensitive information. Please write your request to the corresponding author. The datasets generated and analyzed during the current study are available on Zenodo: https://doi.org/ 10.5281/zenodo.13335206. Datasets are accessible under request because they include sensitive information. Please write your request to the corresponding author.
PMC12465110,41020178,10.1093/braincomms/fcaf344,2025,Brain communications,More than chronic pain: behavioural and psychosocial protective factors predict lower brain age in adults with/at risk of knee osteoarthritis over two years,False,research-article Journal Article,2,0,github.com/tannerjared/deepbrainnet | github.com/tannerjared/protectivebag,,False,Data Availability Statement The data supporting the findings of this study can be obtained from the corresponding author upon reasonable request. DeepBrainNet Python code used is available here: https://github.com/tannerjared/DeepBrainNet . The R code used for statistical analyses is available here: https://github.com/tannerjared/ProtectiveBAG . The data supporting the findings of this study can be obtained from the corresponding author upon reasonable request. DeepBrainNet Python code used is available here: https://github.com/tannerjared/DeepBrainNet . The R code used for statistical analyses is available here: https://github.com/tannerjared/ProtectiveBAG . The data supporting the findings of this study can be obtained from the corresponding author upon reasonable request. DeepBrainNet Python code used is available here: https://github.com/tannerjared/DeepBrainNet . The R code used for statistical analyses is available here: https://github.com/tannerjared/ProtectiveBAG .
PMC12483613,41031896,10.1172/jci188620,2025,The Journal of clinical investigation,Circadian rhythmicity and biopsychosocial characteristics influence opioid use in chronic low back pain,False,"Clinical Trial Research Support, Non-U.S. Gov't research-article Journ",1,0,github.com/computationalgenomicslaboratory/clbphum,,False,"Data Availability Statement RNA sequencing data are available in GEO for the CLBP main cohort ( GSE295758 ) and for the LBP cohort ( GSE177034 ). Values for all data points in graphs are reported in the Supporting Data Values file. Additional information, raw data, and materials are available upon reasonable request. No custom code was used to generate or process the data. However, scripts used to analyze the RNA sequencing data are available at https://github.com/ComputationalGenomicsLaboratory/clbpHum (commit ID 87e3368). RNA sequencing data are available in GEO for the CLBP main cohort ( GSE295758 ) and for the LBP cohort ( GSE177034 ). Values for all data points in graphs are reported in the Supporting Data Values file. Additional information, raw data, and materials are available upon reasonable request. RNA sequencing data are available in GEO for the CLBP main cohort ( GSE295758 ) and for the LBP cohort ( GSE177034 ). Values for all data points in graphs are reported in the Supp"
PMC12666221,41314848,10.1136/bmjopen-2024-096482,2025,BMJ open,"Large cohort study of postnatal events over 18 months in a not-for-profit referral centre in Vellore, South India",False,research-article Journal Article,0,1,,datadryad.org/share/rp7l2usft7wfb2gmjkbndpo3vubgm9oxwsqvbrcl8yo,False,"Data availability statement Data are available in a public, open access repository. Data are available in a public, open access repository. Mathews, Jiji; Abraham, Nitin; ND, Varunashree et al. (Forthcoming 2025). ‘A large cohort study of postnatal events over 18 months in a not-for-profit referral centre in Vellore, South India’[Dataset].Dryad. http://datadryad.org/share/RP7L2uSft7wFB2gmJkBnDPO3VubGm9oxWsqVbrcl8Yo ."
PMC12116846,40425577,10.1038/s41467-025-60158-w,2025,Nature communications,On-chip 3D potency assay for prediction of clinical outcomes for cell therapy candidates for osteoarthritis,False,"Clinical Trial, Phase III research-article Multicenter Study Journal A",1,0,github.com/bhavaygg/bmac,,False,"Data availability All data related to this paper are contained in the article, the Supplementary Information , and the Source Data file. Source data are provided with this paper. Code availability The script for Fig. 5 can be found at https://github.com/bhavaygg/BMAC ."
PMC11747865,39839579,10.1002/hsr2.70353,2025,Health science reports,Psychometric Validation of the German Version of the Rapid Assessment of Physical Activity (RAPA): A Secondary Analysis of Cross-Sectional Survey Data,False,research-article Journal Article,0,1,,osf.io/hcvfm,False,Data Availability Statement All data are available from the Open Science Framework (OSF) database at DOI 10.17605/OSF.IO/HCVFM . All data are available from the Open Science Framework (OSF) database at DOI 10.17605/OSF.IO/HCVFM . All data are available from the Open Science Framework (OSF) database at DOI 10.17605/OSF.IO/HCVFM .
